Date,Actual_Oilprice,ARIMA baseline,SARIMAX + oil + us-index,ANN + oil,ANN + oil + us-index
2008-09-05,108.36749999999999,,,,
2008-09-12,102.876,,,,
2008-09-19,97.19,,,,
2008-09-26,111.122,,,,
2008-10-03,96.59400000000001,,,,
2008-10-10,86.242,,,,
2008-10-17,75.19,,,,
2008-10-24,68.56,,,,
2008-10-31,65.212,,,,
2008-11-07,64.306,,,,
2008-11-14,58.602,,,,
2008-11-21,52.25599999999999,,,,
2008-11-28,53.265,,,,
2008-12-05,45.598,,,,
2008-12-12,44.566,,,,
2008-12-19,39.704,,,,
2008-12-26,32.975,,,,
2009-01-02,42.4025,,,,
2009-01-09,44.458,,,,
2009-01-16,36.727999999999994,,,,
2009-01-23,42.144999999999996,,,,
2009-01-30,42.70399999999999,,,,
2009-02-06,40.775999999999996,,,,
2009-02-13,36.942,,,,
2009-02-20,37.145,,,,
2009-02-27,41.098,,,,
2009-03-06,43.178,,,,
2009-03-13,45.656,,,,
2009-03-20,49.486000000000004,,,,
2009-03-27,52.986000000000004,,,,
2009-04-03,50.344,,,,
2009-04-10,50.46,,,,
2009-04-17,49.864,,,,
2009-04-24,47.798,,,,
2009-05-01,50.20399999999999,,,,
2009-05-08,55.96,,,,
2009-05-15,57.94,,,,
2009-05-22,60.32000000000001,,,,
2009-05-29,64.32249999999999,,,,
2009-06-05,68.108,,,,
2009-06-12,70.854,,,,
2009-06-19,70.62,,,,
2009-06-26,68.58,,,,
2009-07-03,69.32249999999999,,,,
2009-07-10,61.476,,,,
2009-07-17,61.286,,,,
2009-07-24,65.276,,,,
2009-07-31,67.03200000000001,,,,
2009-08-07,71.578,,,,
2009-08-14,69.642,,,,
2009-08-21,70.8,,,,
2009-08-28,72.374,,,,
2009-09-04,68.39200000000001,,,,
2009-09-11,70.91,,,,
2009-09-18,71.32000000000001,,,,
2009-09-25,68.326,,,,
2009-10-02,68.836,,,,
2009-10-09,70.80199999999999,,,,
2009-10-16,75.726,,,,
2009-10-23,80.06,,,,
2009-10-30,78.46600000000001,,,,
2009-11-06,79.0,,,,
2009-11-13,78.24,,,,
2009-11-20,78.368,,,,
2009-11-27,76.1425,,,,
2009-12-04,76.806,,,,
2009-12-11,71.51,,,,
2009-12-18,71.724,,,,
2009-12-25,74.7625,,,,
2010-01-01,79.07,,,,
2010-01-08,82.344,,,,
2010-01-15,80.06,,,,
2010-01-22,76.6225,,,,
2010-01-29,73.936,,,,
2010-02-05,74.572,,,,
2010-02-12,73.88,,,,
2010-02-19,78.2475,,,,
2010-02-26,79.22200000000001,,,,
2010-03-05,80.19,,,,
2010-03-12,81.756,,,,
2010-03-19,81.44200000000001,,,,
2010-03-26,80.646,,,,
2010-04-02,83.01,,,,
2010-04-09,85.662,,,,
2010-04-16,84.342,,,,
2010-04-23,82.902,,,,
2010-04-30,84.218,,,,
2010-05-07,80.24,,,,
2010-05-14,74.97999999999999,,,,
2010-05-21,69.136,,,,
2010-05-28,70.61800000000001,,,,
2010-06-04,72.9075,,,,
2010-06-11,73.436,,,,
2010-06-18,76.7,,,,
2010-06-25,77.06,,,,
2010-07-02,74.958,,,,
2010-07-09,74.38749999999999,,,,
2010-07-16,76.348,,,,
2010-07-23,77.562,,,,
2010-07-30,78.12,,,,
2010-08-06,81.786,,,,
2010-08-13,78.172,,,,
2010-08-20,74.84400000000001,,,,
2010-08-27,72.91,,,,
2010-09-03,74.02000000000001,,,,
2010-09-10,74.82000000000001,,,,
2010-09-17,75.616,,,,
2010-09-24,73.756,,,,
2010-10-01,78.40599999999999,,,,
2010-10-08,82.29400000000001,,,,
2010-10-15,82.164,,,,
2010-10-22,81.148,,,,
2010-10-29,82.03,,,,
2010-11-05,84.928,,,,
2010-11-12,86.90799999999999,,,,
2010-11-19,82.23400000000001,,,,
2010-11-26,82.2775,,,,
2010-12-03,86.752,,,,
2010-12-10,88.49600000000001,,,,
2010-12-17,88.268,,,,
2010-12-24,89.6625,,,,
2010-12-31,90.966,,,,
2011-01-07,89.54400000000001,,,,
2011-01-14,91.024,,,,
2011-01-21,89.7525,,,,
2011-01-28,86.114,,,,
2011-02-04,89.52000000000001,,,,
2011-02-11,85.514,,,,
2011-02-18,84.13399999999999,,,,
2011-02-25,95.26,,,,
2011-03-04,101.05199999999999,,,,
2011-03-11,103.73800000000001,,,,
2011-03-18,99.78999999999999,,,,
2011-03-25,104.40599999999999,,,,
2011-04-01,105.08399999999999,,,,
2011-04-08,109.28599999999999,,,,
2011-04-15,107.75,,,,
2011-04-22,109.11,,,,
2011-04-29,112.296,,,,
2011-05-06,105.83600000000001,,,,
2011-05-13,99.866,,,,
2011-05-20,97.994,,,,
2011-05-27,99.546,,,,
2011-06-03,100.9225,,,,
2011-06-10,100.054,,,,
2011-06-17,95.874,,,,
2011-06-24,92.696,,,,
2011-07-01,93.702,,,,
2011-07-08,97.1225,,,,
2011-07-15,96.72,,,,
2011-07-22,98.006,,,,
2011-07-29,97.828,,,,
2011-08-05,90.854,,,,
