Date,Oilprice,Oilprice_lag_1,Oilprice_lag_2,Oilprice_lag_3,Oilprice_lag_4
2005-02-04,46.97,48.558,47.964999999999996,46.79,44.071999999999996
2005-02-11,46.08,46.97,48.558,47.964999999999996,46.79
2005-02-18,47.82,46.08,46.97,48.558,47.964999999999996
2005-02-25,51.340999999999994,47.82,46.08,46.97,48.558
2005-03-04,52.74400000000001,51.340999999999994,47.82,46.08,46.97
2005-03-11,54.224000000000004,52.74400000000001,51.340999999999994,47.82,46.08
2005-03-18,55.92999999999999,54.224000000000004,52.74400000000001,51.340999999999994,47.82
2005-03-25,52.945,55.92999999999999,54.224000000000004,52.74400000000001,51.340999999999994
