Date,Oilprice,Oilprice_lag_1,Oilprice_lag_2,Oilprice_lag_3,Oilprice_lag_4,us-index_lag_1,us-index_lag_2,us-index_lag_3,us-index_lag_4
2005-02-04,46.97,48.558,47.964999999999996,46.79,44.071999999999996,83.488,83.424,82.804,82.634
2005-02-11,46.08,46.97,48.558,47.964999999999996,46.79,83.786,83.488,83.424,82.804
2005-02-18,47.82,46.08,46.97,48.558,47.964999999999996,84.854,83.786,83.488,83.424
2005-02-25,51.340999999999994,47.82,46.08,46.97,48.558,83.636,84.854,83.786,83.488
2005-03-04,52.74400000000001,51.340999999999994,47.82,46.08,46.97,82.836,83.636,84.854,83.786
2005-03-11,54.224000000000004,52.74400000000001,51.340999999999994,47.82,46.08,82.836,82.836,83.636,84.854
2005-03-18,55.92999999999999,54.224000000000004,52.74400000000001,51.340999999999994,47.82,81.878,82.836,82.836,83.636
2005-03-25,52.945,55.92999999999999,54.224000000000004,52.74400000000001,51.340999999999994,81.936,81.878,82.836,82.836
